state_name,district_name,Total No. of JobCards issued,Total No. of Workers,Total No. of Active Job Cards,Total No. of Active Workers,SC workers against active workers,ST workers against active workers,Approved Labour Budget,Persondays of Central Liability so far,SC persondays,ST persondays,Women Persondays,Average days of employment provided per Household,Average Wage rate per day per person(Rs.),Total No of HHs completed 100 Days of Wage Employment,Total Households Worked,Total Individuals Worked,Differently abled persons worked,Number of GPs with NIL exp,Total No. of Works Takenup (New+Spill Over),Number of Ongoing Works,Number of Completed Works,% of NRM Expenditure(Public + Individual),% of Category B Works,% of Expenditure on Agriculture & Agriculture Allied Works,Total Exp(Rs. in Lakhs.),Wages(Rs. In Lakhs),Material and skilled Wages(Rs. In Lakhs),Total Adm Expenditure (Rs. in Lakhs.)
UTTAR PRADESH,NEW ETAWAH,417443,477611,106615,122283,44227,16,4227930,486721,830236,2125,1120849,25,236.17255,702,85658,64064,281,0,1935,22232,3425,21.04752,20,44.45074,20955.12831,6770.88256,4675.30299,164.11207
ARUNACHAL PRADESH,LOWER KAMLE,5831,32061,9247,8362,0,16858,206358,90721,8,146841,68584,16,407.49123,0,343,3338,0,8,428,251,22,4.6922,0,59.8774,1164.25934,9.46548,182.04313,25.08379
ODISHA,KALAHANDI ABAD,117795,598814,101651,261361,50715,14207,1410235,4609113,192064,149989,2655591,36,239.7155,396,59551,80932,586,0,40291,26140,4196,26.35425,62,56.86154,3872.79496,3690.86994,199.90687,254.75025
ODISHA,GANJAM 10037,136757,123449,90277,295019,71581,24412,1689676,4941697,392840,1199504,3368218,32,228.63159,555,51357,88602,454,0,24692,21364,3880,26.24201,70,39.95919,6166.84288,9471.38637,589.9063,74.40646
HARYANA,AMBALA ABAD,86376,116478,22260,42219,12973,0,310627,793608,22055,0,619952,21,383.80253,0,20202,45177,36,55,3572,54,68,12.32544,44,49.15934,525.44715,1392.08414,161.18899,33.7362
MADHYA PRADESH,SHAJAPUR NAGAR,143408,607542,125518,316136,20511,45515,1563323,1655560,154866,1197662,702721,32,193.19341,89,105080,112113,124,0,20833,14890,2132,48.78553,65,23.08779,6902.16641,1412.62645,2383.173,215.96142
WEST BENGAL,PURBA BARDHAMAN 10261,549296,2547885,506425,84159,320813,14452,0,0,0,0,37188,24,0.0,0,0,0,0,67,32298,25256,112,0.0,10,11.96991,423.78323,1.75361,0.0,222.75571
UTTAR PRADESH,AMETHI ABAD,396589,228717,325727,256773,45456,154,1770250,5440588,123122,5301,1773696,40,242.38959,464,58095,86163,225,14,24882,22494,4886,27.0114,13,58.75232,7212.86725,5178.91167,3096.61099,299.41969
MEGHALAYA,RI BHOI 10289,43665,177424,50477,92308,410,154566,6150718,1006842,4324,804744,503629,34,336.79668,46,69002,40470,11,96,5849,4014,76,12.88312,39,27.67567,3818.23067,627.33763,1158.85953,118.32556
ARUNACHAL PRADESH,LEPARADA 10168,18572,17253,5399,32639,1,6305,501331,142552,0,10166,20589,36,204.91321,0,8618,13944,2,14,224,259,26,3.2272,59,76.74769,2471.26425,224.23681,0.0,8.43751
ODISHA,URBAN BALESHWAR,271201,722239,70354,214791,30623,15463,2798910,1649281,267845,90300,2472365,38,224.45125,2925,90125,185802,374,0,27087,10503,2089,37.31481,22,53.08632,2572.68787,3949.66675,509.82135,224.4564
BIHAR,LAKHISARAI NAGAR,425888,375091,74518,405253,48080,7300,2679499,970825,230689,2637,1075474,37,229.61222,574,71329,42510,150,6,106795,10801,10452,10.35401,68,37.27122,18995.70077,4129.58927,1792.64156,50.70593
MIZORAM,MAMIT 10004,7288,8185,27071,29095,10,20402,656001,327959,0,903495,550752,48,323.2527,0,18502,19929,2,0,531,159,1102,8.50406,68,62.08559,4775.08335,3933.29322,1127.25281,81.54196
MADHYA PRADESH,ASHOK NAGAR GARH,251215,457304,195015,317603,41637,36107,1086231,430564,331077,66840,858987,33,189.91848,558,77592,44280,435,1,25215,11577,18588,47.63454,72,22.78694,10963.60731,1904.28886,880.46324,174.36229
UTTAR PRADESH,KANPUR DEHAT 10050,323520,346273,162576,138844,28837,139,2196898,5618478,1397169,25158,1937562,27,213.56429,1012,75429,32517,179,2,58279,13717,5171,24.2483,10,36.50757,15433.19225,9512.92303,11278.29694,87.51155
CHHATTISGARH,MUNGELI 10252,65193,56610,33395,204246,799,19983,3042798,1845191,76956,1016568,1515792,36,206.37942,132,43095,32849,72,0,15196,3421,3151,44.55879,50,38.65742,2509.73327,5408.00262,1388.32832,91.58817
ASSAM,GREATER NAGAON,152711,147733,96324,192956,8621,44782,529369,1691713,3757,186003,1408121,37,250.94317,11,40744,83733,868,0,19715,43974,5227,3.87553,100,18.87984,2759.80583,3917.81474,141.55417,0.0
KARNATAKA,UDUPI 10609,126851,391546,31557,334383,58148,31077,1622561,2227044,476698,57082,19008,33,313.34546,113,46757,75588,2555,1,115720,24040,6757,20.75852,86,58.18193,6839.71145,7568.39018,320.18117,0.0
ANDAMAN AND NICOBAR,SOUTH ANDAMAN 10016,5643,18715,7090,4560,0,1573,33048,4925,0,0,3035,24,540.36815,0,546,198,5,0,157,188,80,12.95553,42,17.97004,71.67762,5.6712,5.6428,2.44903
UTTAR PRADESH,CHITRAKOOT 10846,487393,617722,184137,202762,38934,531,2912519,1916372,639578,889,825631,45,230.19333,35,59607,74960,19,3,18033,51023,3029,33.10013,71,37.49166,8040.40746,4814.28636,2479.33832,87.21335
GUJARAT,JUNAGADH 10569,86062,231541,87411,80630,7169,40,221173,1190795,373808,1497911,227743,43,189.97964,114,2101,17068,5,136,3857,43053,13368,46.49942,52,24.92629,1373.34016,2117.86307,204.23217,34.84499
MADHYA PRADESH,MORENA 10272,132868,113169,143768,359392,22325,52319,2477973,2051941,251689,552632,259189,24,227.11125,256,55671,106589,1153,2,32317,16645,3199,35.69835,73,16.06391,6462.52708,1927.69364,2333.72536,255.28188
MADHYA PRADESH,URBAN CHHINDWARA,133308,495427,149464,506475,96974,6303,12201687,4283161,54735,245088,458443,29,194.0608,16,47185,40407,296,0,24713,7182,11424,24.27398,69,17.04675,13618.22906,748.05362,1734.65325,191.49781
MAHARASHTRA,YAVATMAL 10675,649103,916223,52241,155190,70721,74723,346212,1381297,20769,455,189239,19,298.11738,47,35801,12487,85,12,15280,16884,3008,17.48631,93,22.48848,851.5596,2927.25386,1082.9128,23.24596
UTTAR PRADESH,SHRAVASTI 11033,114282,143250,106930,242471,101963,174,2092375,2829283,277403,2968,649741,38,252.69593,44,42641,68476,202,8,36526,18764,1526,22.70686,63,90.16191,2370.19294,51.43074,5537.8451,58.55213
HARYANA,PANCHKULA 10127,38440,122056,17317,78812,91764,0,348499,107343,76672,0,13694,31,339.99479,6,20458,65232,2,106,1749,1164,71,13.71329,45,56.07361,1828.22565,105.14261,15.70739,37.49129
MEGHALAYA,WEST GARO HILLS 10159,57133,74889,45616,79072,1443,153119,6021963,218339,672,204132,573983,26,329.93232,0,11349,15609,317,137,5802,3715,1889,5.41913,24,15.54731,6178.18785,683.96611,2409.48458,40.62996
MAHARASHTRA,NANDED 10499,323124,344664,188194,112137,63605,158402,1525645,330184,268739,225391,274608,17,304.08755,579,121578,32778,15,26,25456,25011,2011,0.14811,99,59.62211,1335.41653,1345.01342,243.75082,166.1431
TELANGANA,Karimnagar 10735,180651,797833,65591,142199,39344,39076,1471940,1290254,251863,234648,1189863,40,212.87786,160,46540,69400,574,0,18341,13717,2334,35.42286,12,18.4831,8400.31567,6165.32307,5289.05277,344.02632
ANDHRA PRADESH,NORTH VISAKHAPATANAM,307632,432129,364794,658271,124835,149797,6320599,7129919,4263217,87756,3392637,53,229.31736,5779,342683,196551,2332,0,36404,37564,5171,53.87847,40,50.74439,25485.3313,22623.56516,3551.52601,420.39075
CHHATTISGARH,BALOD,136496,322509,145244,118083,43758,57501,1291993,765301,110451,162776,971423,36,206.49478,657,98469,174764,579,22,17234,6140,2104,38.5506,58,42.54186,2285.91714,4845.74986,768.21195,85.58203
CHHATTISGARH,BALRAMPUR NAGAR,163378,153996,38178,373832,24466,21740,3056073,4990930,463280,357300,1926429,37,208.99068,659,78484,86196,91,15,13365,8050,3335,47.0943,44,30.4805,5451.71769,4851.2275,335.069,92.9442
HARYANA,YAMUNANAGAR 10177,64380,22069,21566,103603,78942,0,92582,314552,31631,0,37474,33,369.26432,57,3450,7687,19,47,2718,1627,470,26.65661,0,19.88517,247.88317,1613.84157,367.54385,31.0366
BIHAR,AURANAGABAD 10838,141342,1072374,149878,234266,16959,9635,7119705,4856313,1209460,12367,3235725,37,257.20795,722,158176,46217,61,4,10269,30063,14727,6.70445,60,40.12492,12515.08266,8898.32425,1428.16078,32.83433
MADHYA PRADESH,RATLAM 10263,162429,275808,216438,333475,31979,345315,1288811,710744,54663,52694,656129,38,235.48235,17,67566,108965,179,3,36272,8613,4614,46.27632,80,24.07151,12304.02201,3534.69272,1427.69459,124.06983
ANDHRA PRADESH,VIZIANAGARAM 10496,293806,633380,135678,383250,79655,27279,15152927,5847967,745459,3017597,5175166,48,261.3247,2481,173807,240656,2640,0,30966,43819,8274,54.01813,69,58.48489,22894.5541,16064.44057,6318.73905,652.70904
UTTAR PRADESH,GHAZIPUR NAGAR,176673,616883,146421,183736,44985,421,2693376,174423,380069,25026,419234,40,238.96248,303,141636,281,115,3,28612,21542,7115,30.61729,19,46.48525,7319.74751,1962.17267,3114.80294,101.93037
PUDUCHERRY,PONDICHERRY 10048,58250,20519,42325,75780,7186,213,264068,371055,239463,2874,341982,32,299.50778,0,38522,12107,149,14,476,248,71,66.31667,0,25.80596,2502.97865,2555.95922,83.02533,55.69434
ASSAM,KARIMGANJ 10276,365420,288161,184847,278019,13030,10326,1130103,1071162,48543,656593,708086,25,249.60829,71,39012,76268,107,0,17864,26823,5435,3.52223,89,19.52609,3713.67798,1469.21889,80.59663,0.0
ODISHA,DHENKANAL PADA,157750,392520,47036,266830,44973,31937,1953063,1386829,173349,1782304,3914701,33,216.04917,3244,70177,98496,368,0,18760,25655,1949,23.31235,71,50.90138,8738.91273,10835.14148,825.48202,90.78423
PUNJAB,MALERKOTLA NAGAR,118746,156092,42795,186283,74063,9,573161,285340,762669,613,592708,29,336.54759,4,29552,15121,173,282,6438,9972,528,6.4558,28,51.89354,1314.28112,2797.73547,357.51416,0.0
BIHAR,PURNIA 10301,763951,444723,267513,257592,34398,543,2666734,4123656,187957,96278,1877691,34,231.0331,148,185214,100587,59,7,11645,24110,17402,7.15377,82,69.213,16480.0077,8181.47392,3290.18914,31.73417
TRIPURA,SOUTH TRIPURA 10173,68401,99586,97317,87396,23098,42007,2920701,2304250,335613,1199881,848624,41,207.52364,2130,70303,125159,711,0,17527,18907,7072,10.16567,71,46.62672,6061.65286,4555.14921,1050.57092,370.84942
TAMIL NADU,MADURAI NAGAR,166506,345181,114714,196684,5885,3222,5378551,6807515,2764436,142121,3394228,40,232.50788,1413,251118,387773,3477,0,12518,4821,10104,82.10083,32,31.21394,14171.46251,17177.10412,2966.10474,398.49878
UTTAR PRADESH,RAE BARELI 10531,233741,492486,130407,191170,16272,376,3361985,2817741,440763,2008,1150932,33,244.73207,946,43690,71557,26,42,21337,10795,5637,35.41666,25,28.74633,6633.12294,7176.69236,2230.27781,83.14692
ODISHA,MAYURBHANJ 10581,106553,340090,115827,139000,54712,33227,1527412,1351504,283464,7825,573727,31,221.3571,4427,23924,69837,431,0,20885,8421,3891,22.69529,68,37.32788,7517.35717,4197.17022,375.26151,122.55499
MEGHALAYA,WEST JAINTIA HILLS 10231,55493,98714,45146,148938,67,63748,1214475,1002246,0,230440,519532,26,248.50159,199,30954,17797,94,9,5474,17294,1956,19.83819,14,54.27343,10949.71206,622.69146,3653.00893,297.16415
RAJASTHAN,SRI GANGANAGAR 10042,330277,627301,258728,620170,108464,23359,6995404,12771537,372591,834693,2890858,33,183.23747,1107,323313,159044,320,3,18962,66286,1315,3.8729,43,30.41893,6066.41265,4904.32888,117.21207,110.90648
CHHATTISGARH,JASHPUR 10210,70638,76637,108587,205304,78837,12764,2966836,774523,39107,262065,987425,35,197.47902,212,21784,54645,482,1,15186,12334,2691,34.00529,71,41.67403,9883.89786,4872.46341,1598.36282,147.86161
PUNJAB,FARIDKOT ABAD,121699,141593,74244,18244,91546,15,1853002,677825,449309,45,433401,18,279.99099,24,20787,26955,190,8,1174,4225,1043,10.85239,14,50.63625,1795.44036,1185.19928,634.65737,0.0
RAJASTHAN,HANUMANGARH 10131,317220,576150,495441,251491,75989,1439,6663921,14540802,1961098,1502075,1131429,25,195.17339,134,185549,426413,915,7,43285,8048,331,50.00887,80,21.51845,8322.39602,23260.81944,571.10017,51.70097
UTTAR PRADESH,RURAL BALLIA,218661,122609,88323,342073,15580,14,3798903,1984740,522505,650,1194229,11,218.7317,126,93852,41026,156,31,74282,19583,0,7.92,39,35.39932,18660.36968,1146.02359,2043.41658,2.9148
UTTARAKHAND,UPPER CHAMOLI,125391,172285,42973,147496,27394,92,2098734,1195399,89372,15755,828345,29,277.37611,425,8841,25804,47,11,14355,10642,1614,15.74689,43,30.5389,2389.99196,1410.94708,185.88081,99.06296
PUNJAB,FARIDKOT 10046,92489,47126,57496,72253,115584,8,637333,743807,114085,56,472082,20,305.80329,27,16741,41544,11,5,3890,4055,1757,12.2653,19,34.18192,1882.25747,3967.30047,218.44928,0.0
TELANGANA,Jayashanker Bhopalapally ABAD,154582,535789,120063,148774,21216,134891,2856272,2095913,824123,162700,774618,37,209.05492,475,44183,63001,848,0,15808,8914,2661,22.4634,51,31.36003,5492.92182,2639.07173,3652.50465,184.19274
GUJARAT,JAMNAGAR 10438,195423,359032,70520,585671,2498,813,356481,506118,24598,550794,887614,36,222.27927,166,12166,16997,79,6,11367,1492,1035,57.24684,69,45.10691,396.81923,1188.17841,122.46681,330.89359
ANDHRA PRADESH,URBAN TIRUPATI,278872,552718,225156,535588,44383,33562,8090315,6313329,1573122,416566,10084214,41,231.77554,2973,201924,216535,202,1,40145,19632,6477,82.90138,62,31.75481,33579.55945,39454.58825,7341.20429,629.05658
UTTAR PRADESH,SIDDHARTH NAGAR PUR,337714,254429,309266,283204,76904,28,4868417,1529367,2222091,262,995170,42,223.62962,150,62454,135973,155,9,51563,34470,1236,0.0,55,34.87143,18594.49025,3901.48103,4396.26161,64.66951
CHHATTISGARH,BEMETARA ABAD,130233,265991,76021,103601,38112,28366,1799290,2000823,35887,261764,1624047,33,252.36322,892,68300,142247,65,0,11732,5983,1709,47.30494,62,37.90989,7149.47131,1174.03965,1454.37835,133.38362
ODISHA,JHARSUGUDA 10147,262358,216447,129755,177924,29275,270641,8914815,4802477,255833,2833503,2406090,35,227.62252,287,134559,36436,72,0,26797,5998,5244,33.04968,45,65.00148,4272.78573,26791.78206,413.57936,218.00125
SIKKIM,Gangtok District 10109,7539,16816,12377,9857,2195,4524,581405,122370,17045,110622,183642,42,276.54633,0,8383,10240,6,0,1186,822,110,1.65663,72,66.20565,1598.13925,947.65703,406.39081,48.82158
UTTAR PRADESH,EAST KANPUR NAGAR,119615,220275,181657,263948,62647,5444,2533603,3939941,353672,11256,554167,39,239.26945,344,44276,80138,160,7,50529,24571,6616,25.65795,20,39.91008,5539.57286,3167.06901,1248.89819,155.34744
MADHYA PRADESH,UPPER GUNA,71884,529258,40368,222096,38830,355174,6452058,1481587,325745,1242119,600077,35,235.33688,253,73121,220167,136,2,29684,28575,10625,39.04906,65,20.85965,10149.00375,1612.21274,1520.50388,459.24896
UTTAR PRADESH,OLD PRATAPGARH,319988,235445,44,239841,91252,328,6140929,1068449,524444,13457,631960,37,215.5366,1175,5944,1445,221,2,53564,37182,2215,16.90032,25,54.29032,7028.49345,5645.11257,0.0,183.53126
UTTAR PRADESH,RURAL FIROZABAD,152040,23981,33106,209924,66928,192,1507073,795887,514751,7420,1160548,31,232.40064,60,83657,175414,254,2,44584,19738,1206,21.35259,80,27.41568,18423.07918,9888.46173,3118.32197,154.56737
MIZORAM,MAMIT 10004,15345,8597,16741,19602,1,23832,1744211,656678,413,240103,96737,48,290.36128,0,35960,22997,21,0,451,788,301,17.13414,28,56.28877,972.88645,715.51126,782.10552,20.28824
ODISHA,KENDRAPARA NAGAR,91239,355068,146876,192411,31155,41282,1189970,1507201,817252,3923285,852666,27,247.93457,600,129723,85794,560,0,29946,23645,2080,21.43943,50,44.20571,2493.38161,2306.49775,610.10103,216.93867
MEGHALAYA,WEST KHASI HILLS 10272,131261,228466,117732,86593,387,154088,4615266,752048,0,809810,561536,22,226.55646,176,28845,43992,345,10,6920,5877,608,10.41537,34,23.53508,2589.5427,1961.79706,4404.09474,92.80454
JHARKHAND,DEOGHAR 10075,254254,250733,243033,240755,17680,162356,2675723,850729,46722,864023,911423,34,253.4648,702,27324,25060,201,0,53069,29982,11623,10.61611,85,79.78766,5430.5184,2805.92036,1602.67686,119.37349
HARYANA,FARIDABAD 10167,42709,130905,12926,16486,48273,0,361585,11282,117874,0,389643,31,391.40033,9,829,893,20,187,1643,1291,6,0.0,32,36.94301,562.7624,8.96465,22.27713,31.4672
CHHATTISGARH,SOUTH SARANGARH BILAIGARH,182794,271465,43579,357899,15572,62055,2196371,1390919,25034,118476,849556,36,220.73494,1323,96908,151939,1236,3,22491,6497,3475,53.11319,67,62.12145,7891.64429,5437.99464,2914.45433,75.83489
MADHYA PRADESH,SHIVPURI 10770,262218,373470,251493,350914,19250,47778,2715103,827666,130946,111879,590349,34,218.8267,16,27615,168958,289,0,35923,17944,1655,59.03037,68,31.19408,9346.60943,3577.18632,2334.96999,79.99512
MADHYA PRADESH,SHIVPURI 10380,46224,215234,153012,270702,62333,70553,995706,1641887,247038,33295,616287,29,202.88058,10,45893,103805,467,0,7934,8572,8726,43.73171,76,21.87685,2963.11486,3887.82464,1714.36533,381.41423
ARUNACHAL PRADESH,OLD WEST KAMENG,9210,12831,14201,32124,0,16476,1311735,233853,22,75517,58341,17,276.28471,0,14394,19722,0,14,380,366,5,3.04128,2,67.47931,873.4094,512.21373,164.12956,11.63281
MAHARASHTRA,HINGOLI 10376,505375,1440571,28279,210951,22597,141377,1434737,343737,27731,1731,907488,25,309.15438,439,15689,21203,284,16,18529,48199,8690,0.43087,94,44.58282,11374.3586,6831.33014,4843.64582,81.64894
JHARKHAND,DEOGHAR 10230,361122,342069,131154,324756,4981,81682,7575011,2335265,214006,293400,1390174,30,280.38564,906,25454,98699,181,4,39428,27345,12246,15.43098,86,38.34724,5333.19498,4038.24758,298.87698,146.77154
BIHAR,BUXAR 10236,375602,1103078,376477,635978,87540,916,6661292,3971324,448386,20908,1177436,34,229.52755,205,140072,60915,161,2,28932,17953,11005,15.57541,72,52.05257,17248.59406,8790.30097,4028.98496,77.98695
CHHATTISGARH,GAURELA PENDRA MARWAHI 10137,38962,239475,74492,190039,42841,71804,4135262,3199542,63131,576413,982066,38,263.35339,1566,36955,99419,841,3,16864,7824,8761,46.31802,56,32.50893,6981.90651,1336.38057,1121.61798,184.55564
CHHATTISGARH,RURAL BALODA BAZAR,41142,350921,151308,189718,63280,43483,5548048,1369000,155596,863882,1164112,26,250.97842,308,106568,69304,431,0,4027,7344,4423,59.27265,49,55.01219,3773.11039,3204.94758,1840.69878,167.5345
KARNATAKA,NEW RAMANAGARA,182901,424794,217026,321629,7971,83070,14225620,35916,19630,66012,938917,31,311.29648,94,95280,96174,3200,0,8469,51692,4566,25.08717,78,27.33393,6641.7238,5583.89962,7220.68124,283.13186
MAHARASHTRA,NAGPUR WADI,501990,499463,58465,363191,4294,183300,712216,1433269,6680,94747,109672,22,290.21416,1531,73406,13653,201,45,49602,8907,2390,3.55254,87,48.31554,1524.35874,6220.11899,2850.35831,32.49952
BIHAR,BANKA 10616,707323,195782,294157,420703,24388,72,5891976,4202304,526625,45549,1334742,34,234.48946,152,94962,41863,72,11,60314,11997,11550,5.06183,65,54.20315,7570.85796,12748.36888,4445.18986,127.39837
UTTARAKHAND,TEHRI GARHWAL NAGAR,97676,95706,33840,139642,13098,22773,526024,314536,103282,622,127801,31,262.87321,424,36454,26887,79,2,7700,4872,1704,16.72367,38,30.56793,3286.9408,594.20988,670.49875,36.20877
TAMIL NADU,NAMAKKAL 10791,194149,300946,529433,486195,5058,29355,2870991,4503341,1468196,54142,7219930,38,255.38917,978,250594,130243,3399,0,12303,7404,6321,83.97735,47,36.08685,11627.31484,12727.4591,2123.41794,158.9111
JAMMU AND KASHMIR,SHOPIAN 10320,66854,38988,37295,85202,6327,1267,1085574,887486,51069,36936,19386,17,141.53926,5,3952,46808,18,21,6480,17579,33,27.64052,47,15.16761,769.76,1416.16107,285.96013,93.95242
SIKKIM,RURAL PAKYONG,13373,19224,11193,25697,896,9548,413907,379235,20554,130719,204227,30,267.13002,88,8229,6903,18,0,2952,826,847,24.11344,54,72.84408,1080.76404,768.65944,227.7831,31.27042
CHHATTISGARH,OLD BIJAPUR,35122,257512,109253,144274,1808,105619,4883479,1383695,77914,1618711,1041654,36,191.04362,2140,18418,179643,450,0,11655,12141,8049,41.48036,57,38.00174,2941.54424,2170.05409,2709.80031,72.51168
KERALA,CENTRAL PATHANAMTHITTA,193999,402705,125803,186376,59279,22681,2898163,3368488,584314,200508,2723146,22,365.24949,295,47821,187535,29,0,36325,32319,4655,35.16373,39,42.08949,6489.70639,14773.01168,333.51154,14.80714
UTTAR PRADESH,SHAHJAHANPUR 10786,136219,208331,160118,135802,73191,15,714934,427772,451214,2126,6433,32,228.80704,0,288,132028,63,3,14486,2054,2103,40.88499,29,51.27815,8640.03592,16690.34935,565.83217,77.23968
GUJARAT,URBAN Morbi,53378,342577,16667,91981,1257,915,1132332,366974,71744,1775,49111,33,284.16114,1897,38278,21724,18,3,3339,9858,2413,64.1812,77,4.88385,1365.2657,2838.19591,252.57217,112.33109
KERALA,KANNUR 10298,215333,586256,197405,154060,9873,4607,2455899,1371011,869969,21096,3358623,33,321.40154,345,55188,146276,216,0,25626,21376,7087,35.24259,59,33.28702,8202.16303,5823.20292,346.57911,17.14742
ARUNACHAL PRADESH,EAST LOHIT,6709,15548,2850,27747,0,31815,601541,66847,0,259055,49551,27,896.43895,19,2440,747,0,4,320,403,0,5.48201,65,37.4336,16.7894,500.5004,279.36358,10.13855
TAMIL NADU,MADURAI 10414,146252,286865,418316,132701,33123,139,3591528,4279681,2180220,46321,3305091,32,243.78693,599,78312,273540,4862,0,18992,8200,6638,57.27056,40,31.04592,12856.41598,10632.85609,2548.49806,189.45883
BIHAR,ARWAL 10356,353340,193736,185947,266195,22307,3336,4365855,1366419,197834,93116,3165400,32,221.89899,614,34100,184103,190,0,10584,31782,4996,8.90727,63,57.63141,13714.01652,8712.77218,3777.92198,37.32608
MANIPUR,GREATER JIRIBAM,35106,79154,25326,99322,213,259,2701010,137783,18,0,18410,6,589.897,0,16794,13446,43,303,927,3428,5,89.63677,0,7.36048,325.82884,48.4889,632.98666,0.0
KARNATAKA,GREATER MYSURU,174747,607187,289055,105394,77078,24859,2480868,2370571,450772,594,844484,37,285.33033,11,50451,194577,104,0,3265,41754,14271,48.72817,59,32.20117,3570.98908,6330.42374,76.06781,99.64556
JHARKHAND,WEST LOHARDAGA,336318,557065,189342,88416,12807,1245,2906674,841409,91577,310621,756685,36,263.80654,671,73172,107486,165,0,38160,16846,13972,3.20046,95,86.28045,10470.21369,4840.63755,1531.41398,148.62212
KERALA,UPPER KASARGOD,364466,382480,153036,300323,48351,2362,3667732,1344283,565443,452892,1638615,33,333.13812,349,124250,142945,108,0,37012,19736,4746,38.75909,57,40.77494,6773.71519,6624.57546,771.03524,61.20487
